FL_GANN-sliding_2-ex_func_2-act_func_0-epoch_800-pop_size_200-pc_0.97-pm_0.1,0.5812,0.376
FL_GANN-sliding_2-ex_func_1-act_func_0-epoch_800-pop_size_200-pc_0.9-pm_0.07,0.4694,0.2837
FL_GANN-sliding_3-ex_func_3-act_func_0-epoch_800-pop_size_100-pc_0.97-pm_0.02,0.5002,0.3371
FL_GANN-sliding_4-ex_func_2-act_func_0-epoch_600-pop_size_100-pc_0.97-pm_0.05,2.094,1.2603
FL_GANN-sliding_2-ex_func_2-act_func_1-epoch_500-pop_size_200-pc_0.94-pm_0.07,0.6086,0.3774
FL_GANN-sliding_3-ex_func_1-act_func_1-epoch_500-pop_size_100-pc_0.97-pm_0.07,0.4906,0.2928
FL_GANN-sliding_2-ex_func_1-act_func_1-epoch_500-pop_size_200-pc_0.87-pm_0.05,0.5194,0.3126
FL_GANN-sliding_3-ex_func_3-act_func_1-epoch_500-pop_size_100-pc_0.9-pm_0.1,0.4989,0.3341
FL_GANN-sliding_2-ex_func_4-act_func_1-epoch_500-pop_size_200-pc_0.87-pm_0.1,0.5376,0.3159
FL_GANN-sliding_4-ex_func_1-act_func_0-epoch_600-pop_size_100-pc_0.9-pm_0.02,0.8017,0.5407
FL_GANN-sliding_4-ex_func_4-act_func_0-epoch_600-pop_size_100-pc_0.9-pm_0.07,1.0779,0.7267
FL_GANN-sliding_5-ex_func_1-act_func_0-epoch_500-pop_size_100-pc_0.94-pm_0.05,0.6061,0.3842
FL_GANN-sliding_5-ex_func_3-act_func_0-epoch_500-pop_size_100-pc_0.87-pm_0.07,0.5582,0.3472
FL_GANN-sliding_5-ex_func_4-act_func_0-epoch_500-pop_size_100-pc_0.94-pm_0.1,0.9009,0.5918
FL_GANN-sliding_3-ex_func_3-act_func_0-epoch_500-pop_size_200-pc_0.97-pm_0.07,0.4781,0.2932
FL_GANN-sliding_4-ex_func_2-act_func_0-epoch_700-pop_size_100-pc_0.94-pm_0.02,3.1797,2.0732
FL_GANN-sliding_3-ex_func_2-act_func_0-epoch_500-pop_size_200-pc_0.9-pm_0.05,1.3671,0.8655
FL_GANN-sliding_4-ex_func_0-act_func_0-epoch_700-pop_size_100-pc_0.97-pm_0.1,0.6055,0.4059
FL_GANN-sliding_5-ex_func_0-act_func_0-epoch_500-pop_size_100-pc_0.87-pm_0.02,0.8749,0.5513
FL_GANN-sliding_3-ex_func_0-act_func_0-epoch_500-pop_size_200-pc_0.97-pm_0.02,0.5767,0.3888
FL_GANN-sliding_4-ex_func_4-act_func_0-epoch_700-pop_size_100-pc_0.87-pm_0.05,1.0005,0.6615
FL_GANN-sliding_4-ex_func_0-act_func_0-epoch_800-pop_size_100-pc_0.94-pm_0.07,0.6648,0.43
FL_GANN-sliding_5-ex_func_2-act_func_0-epoch_600-pop_size_100-pc_0.97-pm_0.05,2.8933,1.8572
FL_GANN-sliding_3-ex_func_2-act_func_0-epoch_600-pop_size_200-pc_0.87-pm_0.02,0.821,0.5267
FL_GANN-sliding_3-ex_func_3-act_func_0-epoch_600-pop_size_200-pc_0.94-pm_0.05,0.5051,0.3132
FL_GANN-sliding_4-ex_func_0-act_func_1-epoch_500-pop_size_100-pc_0.9-pm_0.05,0.673,0.4427
FL_GANN-sliding_5-ex_func_1-act_func_0-epoch_600-pop_size_100-pc_0.9-pm_0.02,0.6471,0.4163
FL_GANN-sliding_3-ex_func_0-act_func_0-epoch_600-pop_size_200-pc_0.9-pm_0.1,0.5036,0.2993
