"Job/task event table gồm tất cả những job  đang active (running) hoặc đang ở trạng
 thái chờ được schedule (PENDING) tại mọi chỗ trong trace.
 Với mọi job trong trace, đều có ít nhát 1 record cho tất cả các task của nó,
 Bao gồm scheduling constraints.",,,,,,,,,,,,
,,,,,,,,,,,,
"All jobs and tasks have a scheduling class that roughly represents how latency-sensitive it is. 
(nhạy cảm với độ trễ). Scheduling class không phải priorities, nó chỉ ảnh hưởng đến chính sách truy cập tài nguyên của machine-local.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
file pattern,field number,content,format,mandatory,,,,,,,,
25658490522,,6253222260,56,1274117,4,ycbMkTOh7F0buLKJlg4BU3OcBWrvF/JTZkXp9iv5zDg=,0,0,0.0125,0.02191,0.001131,0
25659296018,,515042969,4,6648753,1,/fk1fVcVxZ6iM6gHZzqbIyq56m5zrmHfpdcZ/zzkq4c=,2,0,0.01562,0.01553,0.0002155,0
25659296030,,515042969,6,257336997,1,/fk1fVcVxZ6iM6gHZzqbIyq56m5zrmHfpdcZ/zzkq4c=,2,0,0.01562,0.01553,0.0002155,0
25659296042,,515042969,20,317495561,1,/fk1fVcVxZ6iM6gHZzqbIyq56m5zrmHfpdcZ/zzkq4c=,2,0,0.01562,0.01553,0.0002155,0
25659677709,,515042969,22,,5,/fk1fVcVxZ6iM6gHZzqbIyq56m5zrmHfpdcZ/zzkq4c=,2,0,0.01562,0.01553,0.0002155,0
25656194247,,6253222260,93,1275158,4,ycbMkTOh7F0buLKJlg4BU3OcBWrvF/JTZkXp9iv5zDg=,0,0,0.0125,0.02191,0.001131,0
25656194564,,6253226514,5,3545370758,4,QhKaMUnHYqtG1RJkmo+zqhY1dChfuOZ6oy8jYGDlsic=,0,2,0.05627,0.01189,0.00001907,0
25656954092,,4121195473,0,228686520,5,U92K1yEHrKuYMdXHOWCxTNkMq4QUJrHWQq9OVfAHL04=,2,10,0,0,0,0
25656954099,,4121195473,0,,0,U92K1yEHrKuYMdXHOWCxTNkMq4QUJrHWQq9OVfAHL04=,2,10,0,0,0,0
25656954140,,515042969,13,,5,/fk1fVcVxZ6iM6gHZzqbIyq56m5zrmHfpdcZ/zzkq4c=,2,0,0.01562,0.01553,0.0002155,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
machine_events/part-00000-of-00001.csv.gz,1,time,INTEGER,YES,,,,,,,,
machine_events/part-00000-of-00001.csv.gz,2,machine ID,INTEGER,YES,,,,,,,,
machine_events/part-00000-of-00001.csv.gz,3,event type,INTEGER,YES,,,,,,,,
machine_events/part-00000-of-00001.csv.gz,4,platform ID,STRING_HASH,NO,,,,,,,,
machine_events/part-00000-of-00001.csv.gz,5,CPUs,FLOAT,NO,giá trị chuẩn hóa (số core),,,,,,,
machine_events/part-00000-of-00001.csv.gz,6,Memory,FLOAT,NO,giá trị chuẩn hóa (ram size),,,,,,,
,,,,,"2 máy cùng platform Id có thể khác nhau về clock rates, mem speed, số core,…",,,,,,,
,,,,,,,,,,,,
1611372954580,2538311,1,HofLGzk1Or/8Ildj2+Lqv0UGGvY82NLoni8+J/Yy0RU=,0.5,0.4995,,,,,,,
1611423942767,2671740732,0,HofLGzk1Or/8Ildj2+Lqv0UGGvY82NLoni8+J/Yy0RU=,0.5,0.2493,,,,,,,
1611423943317,2671740732,2,HofLGzk1Or/8Ildj2+Lqv0UGGvY82NLoni8+J/Yy0RU=,0.5,0.2493,,,,,,,
1611426051532,2222731518,0,HofLGzk1Or/8Ildj2+Lqv0UGGvY82NLoni8+J/Yy0RU=,0.5,0.4995,,,,,,,
1611426051595,2222731518,2,HofLGzk1Or/8Ildj2+Lqv0UGGvY82NLoni8+J/Yy0RU=,0.5,0.4995,,,,,,,
1611435612187,4488976505,1,HofLGzk1Or/8Ildj2+Lqv0UGGvY82NLoni8+J/Yy0RU=,0.5,0.4995,,,,,,,
1611372954580,2538311,1,HofLGzk1Or/8Ildj2+Lqv0UGGvY82NLoni8+J/Yy0RU=,0.5,0.4995,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
machine_attributes/part-00000-of-00001.csv.gz,1,time,INTEGER,YES,,,,,,,,
machine_attributes/part-00000-of-00001.csv.gz,2,machine ID,INTEGER,YES,,,,,,,,
machine_attributes/part-00000-of-00001.csv.gz,3,attribute name,STRING_HASH,YES,,,,,,,,
machine_attributes/part-00000-of-00001.csv.gz,4,attribute value,STRING_HASH_OR_INTEGER,NO,,,,,,,,
machine_attributes/part-00000-of-00001.csv.gz,5,attribute deleted,BOOLEAN,YES,,,,,,,,
,,,,,"Lưu dạng key-value đại diện cho machine properties như kernel version, clock speed, presence of external IP address. Task có thể rằng buộc với machine attributes. ",27076049346,446185218,p8ZhzZo6jUe5PdjVklNuNCkogJqCEFA33ZThAAVyqWg=,3oaOYSSGfifrdnzKYoZlEDtBBzl7ErG8fqUB72jVxv4=,0,,
,,,,,,,,,,,,
27072889287,4469365853,p8ZhzZo6jUe5PdjVklNuNCkogJqCEFA33ZThAAVyqWg=,3oaOYSSGfifrdnzKYoZlEDtBBzl7ErG8fqUB72jVxv4=,0,,,,,,,,
27072889581,2006712278,p8ZhzZo6jUe5PdjVklNuNCkogJqCEFA33ZThAAVyqWg=,3oaOYSSGfifrdnzKYoZlEDtBBzl7ErG8fqUB72jVxv4=,0,,,,,,,,
27073612690,711522,p8ZhzZo6jUe5PdjVklNuNCkogJqCEFA33ZThAAVyqWg=,3oaOYSSGfifrdnzKYoZlEDtBBzl7ErG8fqUB72jVxv4=,0,,,,,,,,
27075401496,208018577,p8ZhzZo6jUe5PdjVklNuNCkogJqCEFA33ZThAAVyqWg=,3oaOYSSGfifrdnzKYoZlEDtBBzl7ErG8fqUB72jVxv4=,0,,,,,,,,
27075401939,1335782,QlHb0NMTSytpaiRqXo9rzLE+wu5f7Cx4uvIm3KZc8lQ=,2,0,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"Task có thể có 0 hoặc nhiều rằng buộc, hạn chế task chạy trên các máy nào. Mỗi record tương ứng vs 1 task event record. ",,,,,,,,,,
task_constraints/part-?????-of-?????.csv.gz,1,time,INTEGER,YES,,,,,,,,
task_constraints/part-?????-of-?????.csv.gz,2,job ID,INTEGER,YES,,,,,,,,
task_constraints/part-?????-of-?????.csv.gz,3,task index,INTEGER,YES,,,,,,,,
task_constraints/part-?????-of-?????.csv.gz,4,comparison operator,INTEGER,YES,,,,,,,,
task_constraints/part-?????-of-?????.csv.gz,5,attribute name,STRING_HASH,YES,,,,,,,,
task_constraints/part-?????-of-?????.csv.gz,6,attribute value,STRING_HASH_OR_INTEGER,NO,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
